"","average","date","highest","lowest","order_count","volume","type_id","region","today","datediff","dolvol"
"1",5e+05,2018-01-02,5e+05,5e+05,2,2,1198,"Catch",2018-01-27,25,40000
"2",5e+05,2018-01-12,5e+05,5e+05,1,1,1198,"Catch",2018-01-27,15,33333.3333333333
"3",1199999,2018-01-02,1199999,1199999,3,3,1266,"Catch",2018-01-27,25,143999.88
"4",1199999,2018-01-03,1199999,1199999,1,1,1266,"Catch",2018-01-27,24,49999.9583333333
"5",1199999,2018-01-04,1199999,1199999,1,1,1266,"Catch",2018-01-27,23,52173.8695652174
"6",1199999,2018-01-05,1199999,1199999,1,1,1266,"Catch",2018-01-27,22,54545.4090909091
"7",1199999,2018-01-09,1199999,1199999,1,1,1266,"Catch",2018-01-27,18,66666.6111111111
"8",757999,2018-01-17,757999,757999,1,1,1266,"Catch",2018-01-27,10,75799.9
"9",801137.98,2017-12-29,1200000,749999.92,20,40,1319,"Catch",2018-01-27,29,1105017.90344828
"10",708000.69,2018-01-03,749999.94,687965.99,23,54,1319,"Catch",2018-01-27,24,1593001.5525
"11",662087.56,2018-01-04,698900,650000,21,46,1319,"Catch",2018-01-27,23,1324175.12
"12",659668.13,2018-01-05,690000,650000,24,64,1319,"Catch",2018-01-27,22,1919034.56
"13",755879.46,2018-01-08,874348.4,749999.93,25,70,1319,"Catch",2018-01-27,19,2784819.06315789
"14",825684.03,2018-01-09,1e+06,746695.71,22,60,1319,"Catch",2018-01-27,18,2752280.1
"15",673920.58,2018-01-10,749999.83,530000,17,46,1319,"Catch",2018-01-27,17,1823549.80470588
"16",741212.02,2018-01-13,749999.67,687955.99,30,69,1319,"Catch",2018-01-27,14,3653116.38428571
"17",805404.48,2018-01-16,899999.98,789995.97,31,63,1319,"Catch",2018-01-27,11,4612771.11272727
"18",889000,2017-12-28,889000,889000,1,1,3304,"Catch",2018-01-27,30,29633.3333333333
"19",908571.43,2017-12-30,908571.43,908571.43,1,1,3304,"Catch",2018-01-27,28,32448.9796428571
"20",5e+05,2017-12-31,5e+05,5e+05,2,2,3304,"Catch",2018-01-27,27,37037.037037037
"21",694500,2018-01-01,889000,5e+05,2,2,3304,"Catch",2018-01-27,26,53423.0769230769
"22",5e+05,2018-01-02,5e+05,5e+05,1,1,3304,"Catch",2018-01-27,25,20000
"23",5e+05,2018-01-04,5e+05,5e+05,1,1,3304,"Catch",2018-01-27,23,21739.1304347826
"24",5e+05,2018-01-06,5e+05,5e+05,1,1,3304,"Catch",2018-01-27,21,23809.5238095238
"25",5e+05,2018-01-07,5e+05,5e+05,1,1,3304,"Catch",2018-01-27,20,25000
"26",5e+05,2018-01-09,5e+05,5e+05,1,1,3304,"Catch",2018-01-27,18,27777.7777777778
